account,domain,status,nameservers
noizu,aifighter.com,active,"guss.ns.cloudflare.com, keyla.ns.cloudflare.com"
noizu,ailurophileanonymous.com,pending,"pete.ns.cloudflare.com, sue.ns.cloudflare.com"
noizu,app-guru.com,pending,"pete.ns.cloudflare.com, sue.ns.cloudflare.com"
noizu,bladeofeternity.com,active,"pete.ns.cloudflare.com, sue.ns.cloudflare.com"
noizu,bloggerscompete.com,pending,"pete.ns.cloudflare.com, sue.ns.cloudflare.com"
noizu,bookmarkflow.com,active,"guss.ns.cloudflare.com, keyla.ns.cloudflare.com"
noizu,codefre.sh,pending,"guss.ns.cloudflare.com, keyla.ns.cloudflare.com"
noizu,elixirgenai.dev,pending,"pete.ns.cloudflare.com, sue.ns.cloudflare.com"
noizu,exllama.dev,pending,"pete.ns.cloudflare.com, sue.ns.cloudflare.com"
noizu,fantasticwingedavenger.com,active,"guss.ns.cloudflare.com, keyla.ns.cloudflare.com"
noizu,gameclick.net,pending,"pete.ns.cloudflare.com, sue.ns.cloudflare.com"
noizu,gamesborn.com,pending,"pete.ns.cloudflare.com, sue.ns.cloudflare.com"
noizu,genleo.net,active,"guss.ns.cloudflare.com, keyla.ns.cloudflare.com"
noizu,gotta.cc,active,"pete.ns.cloudflare.com, sue.ns.cloudflare.com"
noizu,hirewritingexperts.com,pending,"pete.ns.cloudflare.com, sue.ns.cloudflare.com"
noizu,inmateslife.com,active,"guss.ns.cloudflare.com, keyla.ns.cloudflare.com"
noizu,iotgo.io,active,"guss.ns.cloudflare.com, keyla.ns.cloudflare.com"
noizu,jailbreakingsite.com,active,"guss.ns.cloudflare.com, keyla.ns.cloudflare.com"
noizu,justmcp.it.com,pending,"brit.ns.cloudflare.com, cody.ns.cloudflare.com"
noizu,justsecure.it.com,pending,"brit.ns.cloudflare.com, cody.ns.cloudflare.com"
noizu,kingofthepeople.com,pending,"pete.ns.cloudflare.com, sue.ns.cloudflare.com"
noizu,leadingbanner.com,pending,"guss.ns.cloudflare.com, keyla.ns.cloudflare.com"
noizu,malicious-gamers.com,pending,"pete.ns.cloudflare.com, sue.ns.cloudflare.com"
noizu,malicious-mercenaries.com,pending,"pete.ns.cloudflare.com, sue.ns.cloudflare.com"
